Vandportalen - www.vandportalen.dk
Lokalitet:;38.05 Ribe å, Kammerslusen indvendig
Tidsserie:;Vandstand
Drives af Esbjerg Kommune
Dataperiode:;19-01-2025 00:00 - 21-01-2025 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;-0.07 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;20-01-2025 14:28

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (m DVR90);ks mrk.
19-01-2025 00:00;-0.407;0
19-01-2025 00:05;-0.418;0
19-01-2025 00:10;-0.426;0
19-01-2025 00:15;-0.434;0
19-01-2025 00:20;-0.440;0
19-01-2025 00:25;-0.447;0
19-01-2025 00:30;-0.456;0
19-01-2025 00:35;-0.464;0
19-01-2025 00:40;-0.470;0
19-01-2025 00:45;-0.477;0
19-01-2025 00:50;-0.482;0
19-01-2025 00:55;-0.492;0
19-01-2025 01:00;-0.498;0
19-01-2025 01:05;-0.502;0
19-01-2025 01:10;-0.509;0
19-01-2025 01:15;-0.513;0
19-01-2025 01:20;-0.514;0
19-01-2025 01:25;-0.515;0
19-01-2025 01:30;-0.510;0
19-01-2025 01:35;-0.499;0
19-01-2025 01:40;-0.476;0
19-01-2025 01:45;-0.448;0
19-01-2025 01:50;-0.406;0
19-01-2025 01:55;-0.355;0
19-01-2025 02:00;-0.302;0
19-01-2025 02:05;-0.253;0
19-01-2025 02:10;-0.260;0
19-01-2025 02:15;-0.238;0
19-01-2025 02:20;-0.216;0
19-01-2025 02:25;-0.182;0
19-01-2025 02:30;-0.170;0
19-01-2025 02:35;-0.150;0
19-01-2025 02:40;-0.122;0
19-01-2025 02:45;-0.111;0
19-01-2025 02:50;-0.094;0
19-01-2025 02:55;-0.075;0
19-01-2025 03:00;-0.059;0
19-01-2025 03:05;-0.043;0
19-01-2025 03:10;-0.028;0
19-01-2025 03:15;-0.013;0
19-01-2025 03:20;0.002;0
19-01-2025 03:25;0.017;0
19-01-2025 03:30;0.031;0
19-01-2025 03:35;0.045;0
19-01-2025 03:40;0.059;0
19-01-2025 03:45;0.072;0
19-01-2025 03:50;0.087;0
19-01-2025 03:55;0.099;0
19-01-2025 04:00;0.111;0
19-01-2025 04:05;0.124;0
19-01-2025 04:10;0.136;0
19-01-2025 04:15;0.149;0
19-01-2025 04:20;0.160;0
19-01-2025 04:25;0.171;0
19-01-2025 04:30;0.183;0
19-01-2025 04:35;0.194;0
19-01-2025 04:40;0.206;0
19-01-2025 04:45;0.217;0
19-01-2025 04:50;0.227;0
19-01-2025 04:55;0.237;0
19-01-2025 05:00;0.248;0
19-01-2025 05:05;0.259;0
19-01-2025 05:10;0.269;0
19-01-2025 05:15;0.279;0
19-01-2025 05:20;0.290;0
19-01-2025 05:25;0.299;0
19-01-2025 05:30;0.309;0
19-01-2025 05:35;0.320;0
19-01-2025 05:40;0.329;0
19-01-2025 05:45;0.339;0
19-01-2025 05:50;0.347;0
19-01-2025 05:55;0.356;0
19-01-2025 06:00;0.366;0
19-01-2025 06:05;0.375;0
19-01-2025 06:10;0.384;0
19-01-2025 06:15;0.393;0
19-01-2025 06:20;0.402;0
19-01-2025 06:25;0.410;0
19-01-2025 06:30;0.419;0
19-01-2025 06:35;0.427;0
19-01-2025 06:40;0.435;0
19-01-2025 06:45;0.444;0
19-01-2025 06:50;0.451;0
19-01-2025 06:55;0.461;0
19-01-2025 07:00;0.468;0
19-01-2025 07:05;0.475;0
19-01-2025 07:10;0.484;0
19-01-2025 07:15;0.490;0
19-01-2025 07:20;0.499;0
19-01-2025 07:25;0.506;0
19-01-2025 07:30;0.513;0
19-01-2025 07:35;0.521;0
19-01-2025 07:40;0.528;0
