Vandportalen - www.vandportalen.dk
Lokalitet:;9006701 Ribe Kammersluse I, 
Tidsserie:;Vandstand (Kystdirektoratet / Coastal Authority)
Drives af Kystdirektoratet / Coastal Authority
Dataperiode:;19-01-2025 00:00 - 21-01-2025 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;0 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;20-01-2025 14:28

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (Kystdirektoratet / Coastal Authority) (cm DVR90);ks mrk.
19-01-2025 00:00;-0.520;0
19-01-2025 00:10;-0.530;0
19-01-2025 00:20;-0.540;0
19-01-2025 00:30;-0.550;0
19-01-2025 00:40;-0.560;0
19-01-2025 00:50;-0.570;0
19-01-2025 01:00;-0.580;0
19-01-2025 01:10;-0.590;0
19-01-2025 01:20;-0.590;0
19-01-2025 01:30;-0.570;0
19-01-2025 01:40;-0.510;0
19-01-2025 01:50;-0.410;0
19-01-2025 02:00;-0.280;0
19-01-2025 02:10;-0.150;0
19-01-2025 02:20;-0.020;0
19-01-2025 02:30;0.040;0
19-01-2025 02:40;0.130;0
19-01-2025 02:50;0.210;0
19-01-2025 03:00;0.280;0
19-01-2025 03:10;0.350;0
19-01-2025 03:20;0.420;0
19-01-2025 03:30;0.470;0
19-01-2025 03:40;0.520;0
19-01-2025 03:50;0.570;0
19-01-2025 04:00;0.610;0
19-01-2025 04:10;0.660;0
19-01-2025 04:20;0.700;0
19-01-2025 04:30;0.750;0
19-01-2025 04:40;0.790;0
19-01-2025 04:50;0.830;0
19-01-2025 05:00;0.870;0
19-01-2025 05:10;0.890;0
19-01-2025 05:20;0.920;0
19-01-2025 05:30;0.940;0
19-01-2025 05:40;0.960;0
19-01-2025 05:50;0.980;0
19-01-2025 06:00;0.980;0
19-01-2025 06:10;0.970;0
19-01-2025 06:20;0.960;0
19-01-2025 06:30;0.940;0
19-01-2025 06:40;0.910;0
19-01-2025 06:50;0.880;0
19-01-2025 07:00;0.850;0
19-01-2025 07:10;0.810;0
19-01-2025 07:20;0.770;0
19-01-2025 07:30;0.720;0
19-01-2025 07:40;0.680;0
19-01-2025 07:50;0.630;0
19-01-2025 08:00;0.580;0
19-01-2025 08:10;0.540;0
19-01-2025 08:20;0.480;0
19-01-2025 08:30;0.420;0
19-01-2025 08:40;0.340;0
19-01-2025 08:50;0.260;0
19-01-2025 09:00;0.200;0
19-01-2025 09:10;0.130;0
19-01-2025 09:20;0.080;0
19-01-2025 09:30;0.010;0
19-01-2025 09:40;-0.040;0
19-01-2025 09:50;-0.090;0
19-01-2025 10:00;-0.120;0
19-01-2025 10:10;-0.160;0
19-01-2025 10:20;-0.190;0
19-01-2025 10:30;-0.230;0
19-01-2025 10:40;-0.260;0
19-01-2025 10:50;-0.290;0
19-01-2025 11:00;-0.320;0
19-01-2025 11:10;-0.350;0
19-01-2025 11:20;-0.380;0
19-01-2025 11:30;-0.400;0
19-01-2025 11:40;-0.420;0
19-01-2025 11:50;-0.440;0
19-01-2025 12:00;-0.460;0
19-01-2025 12:10;-0.470;0
19-01-2025 12:20;-0.480;0
19-01-2025 12:30;-0.500;0
19-01-2025 12:40;-0.510;0
19-01-2025 12:50;-0.520;0
19-01-2025 13:00;-0.530;0
19-01-2025 13:10;-0.550;0
19-01-2025 13:20;-0.560;0
19-01-2025 13:30;-0.560;0
19-01-2025 13:40;-0.560;0
19-01-2025 13:50;-0.540;0
19-01-2025 14:00;-0.490;0
19-01-2025 14:10;-0.410;0
19-01-2025 14:20;-0.320;0
19-01-2025 14:30;-0.250;0
19-01-2025 14:40;-0.170;0
19-01-2025 14:50;-0.050;0
19-01-2025 15:00;0.000;0
19-01-2025 15:10;0.080;0
19-01-2025 15:20;0.150;0
19-01-2025 15:30;0.220;0
19-01-2025 15:40;0.280;0
19-01-2025 15:50;0.330;0
19-01-2025 16:00;0.380;0
19-01-2025 16:10;0.420;0
19-01-2025 16:20;0.470;0
19-01-2025 16:30;0.500;0
19-01-2025 16:40;0.540;0
19-01-2025 16:50;0.580;0
19-01-2025 17:00;0.620;0
19-01-2025 17:10;0.660;0
19-01-2025 17:20;0.690;0
19-01-2025 17:30;0.710;0
19-01-2025 17:40;0.740;0
19-01-2025 17:50;0.750;0
19-01-2025 18:00;0.770;0
19-01-2025 18:10;0.780;0
19-01-2025 18:20;0.780;0
19-01-2025 18:30;0.770;0
19-01-2025 18:40;0.750;0
19-01-2025 18:50;0.740;0
19-01-2025 19:00;0.710;0
19-01-2025 19:10;0.690;0
19-01-2025 19:20;0.650;0
19-01-2025 19:30;0.620;0
19-01-2025 19:40;0.590;0
19-01-2025 19:50;0.540;0
19-01-2025 20:00;0.500;0
19-01-2025 20:10;0.470;0
19-01-2025 20:20;0.430;0
19-01-2025 20:30;0.380;0
19-01-2025 20:40;0.320;0
19-01-2025 20:50;0.270;0
19-01-2025 21:00;0.210;0
19-01-2025 21:10;0.150;0
19-01-2025 21:20;0.100;0
19-01-2025 21:30;0.040;0
19-01-2025 21:40;-0.020;0
19-01-2025 21:50;-0.070;0
19-01-2025 22:00;-0.120;0
19-01-2025 22:10;-0.150;0
19-01-2025 22:20;-0.190;0
19-01-2025 22:30;-0.210;0
19-01-2025 22:40;-0.250;0
19-01-2025 22:50;-0.280;0
19-01-2025 23:00;-0.310;0
19-01-2025 23:10;-0.340;0
19-01-2025 23:20;-0.360;0
19-01-2025 23:30;-0.390;0
19-01-2025 23:40;-0.410;0
19-01-2025 23:50;-0.430;0
20-01-2025 00:00;-0.450;0
20-01-2025 00:10;-0.470;0
20-01-2025 00:20;-0.480;0
20-01-2025 00:30;-0.500;0
20-01-2025 00:40;-0.510;0
20-01-2025 00:50;-0.520;0
20-01-2025 01:00;-0.540;0
20-01-2025 01:10;-0.550;0
20-01-2025 01:20;-0.560;0
20-01-2025 01:30;-0.570;0
20-01-2025 01:40;-0.560;0
20-01-2025 01:50;-0.530;0
20-01-2025 02:00;-0.460;0
20-01-2025 02:10;-0.350;0
20-01-2025 02:20;-0.250;0
20-01-2025 02:30;-0.160;0
20-01-2025 02:40;0.000;0
20-01-2025 02:50;0.050;0
20-01-2025 03:00;0.150;0
20-01-2025 03:10;0.230;0
20-01-2025 03:20;0.310;0
20-01-2025 03:30;0.360;0
20-01-2025 03:40;0.420;0
20-01-2025 03:50;0.470;0
20-01-2025 04:00;0.520;0
20-01-2025 04:10;0.570;0
20-01-2025 04:20;0.620;0
20-01-2025 04:30;0.670;0
20-01-2025 04:40;0.710;0
20-01-2025 04:50;0.750;0
20-01-2025 05:00;0.790;0
20-01-2025 05:10;0.840;0
20-01-2025 05:20;0.880;0
20-01-2025 05:30;0.910;0
20-01-2025 05:40;0.940;0
20-01-2025 05:50;0.970;0
20-01-2025 06:00;0.990;0
20-01-2025 06:10;1.020;0
20-01-2025 06:20;1.020;0
20-01-2025 06:30;1.040;0
20-01-2025 06:40;1.030;0
20-01-2025 06:50;1.010;0
20-01-2025 07:00;1.000;0
20-01-2025 07:10;0.970;0
20-01-2025 07:20;0.950;0
20-01-2025 07:30;0.920;0
20-01-2025 07:40;0.880;0
20-01-2025 07:50;0.840;0
20-01-2025 08:00;0.790;0
20-01-2025 08:10;0.750;0
20-01-2025 08:20;0.700;0
20-01-2025 08:30;0.650;0
20-01-2025 08:40;0.600;0
20-01-2025 08:50;0.560;0
20-01-2025 09:00;0.510;0
20-01-2025 09:10;0.460;0
20-01-2025 09:20;0.390;0
20-01-2025 09:30;0.310;0
20-01-2025 09:40;0.240;0
20-01-2025 09:50;0.180;0
20-01-2025 10:00;0.110;0
20-01-2025 10:10;0.050;0
20-01-2025 10:20;0.000;0
20-01-2025 10:30;-0.060;0
20-01-2025 10:40;-0.110;0
20-01-2025 10:50;-0.140;0
20-01-2025 11:00;-0.180;0
20-01-2025 11:10;-0.210;0
20-01-2025 11:20;-0.240;0
20-01-2025 11:30;-0.290;0
20-01-2025 11:40;-0.310;0
20-01-2025 11:50;-0.340;0
20-01-2025 12:00;-0.370;0
20-01-2025 12:10;-0.390;0
20-01-2025 12:20;-0.410;0
20-01-2025 12:30;-0.430;0
20-01-2025 12:40;-0.450;0
20-01-2025 12:50;-0.460;0
20-01-2025 13:00;-0.480;0
20-01-2025 13:10;-0.500;0
20-01-2025 13:20;-0.510;0
20-01-2025 13:30;-0.530;0
20-01-2025 13:40;-0.540;0
20-01-2025 13:50;-0.550;0
20-01-2025 14:00;-0.550;0
20-01-2025 14:10;-0.540;0
